datetime,open,close,low,high,amount,count,vol,DIFF,DEA,MACD,MA5,MA10,MA20,MA60
2019-05-05 05:00:00,4.9035,4.9378,4.8776,4.9502,606322.4762221234,35071,2987240.3865159615,,,,,,,
2019-05-05 06:00:00,4.9378,4.9881,4.9175,4.9881,629500.1453190743,30214,3116303.4175975723,,,,,,,
2019-05-05 07:00:00,4.9882,4.949,4.9309,5.0003,616940.5212187592,24412,3064798.7968388586,,,,,,,
2019-05-05 08:00:00,4.9489,4.9213000000000005,4.9113,4.9643,485017.758072634,25898,2392603.6413385505,,,,,,,
2019-05-05 09:00:00,4.9213000000000005,4.9133,4.8985,4.9478,300823.9513782892,13642,1480242.9520894645,,,,4.9418999999999995,,,
2019-05-05 10:00:00,4.9132,4.9214,4.9039,4.9458,337284.14337196207,11559,1660943.0898411265,,,,4.93862,,,
2019-05-05 11:00:00,4.9213000000000005,4.9354,4.9148,4.9475,188105.50493068146,8995,926879.7379828069,,,,4.92808,,,
2019-05-05 12:00:00,4.9356,4.9302,4.9155,4.9434000000000005,163071.68310703346,8864,804033.5405482791,,,,4.92432,,,
2019-05-05 13:00:00,4.9305,4.9832,4.9205000000000005,5.0,424334.95866142254,16552,2106791.1121236547,,,,4.9367,,,
2019-05-05 14:00:00,4.9832,4.9698,4.952,5.02,831960.3650884381,29504,4153868.74559828,,,,4.9479999999999995,4.9449499999999995,,
2019-05-05 15:00:00,4.9701,4.9035,4.8898,4.9749,586900.7073411857,23423,2895328.7901670304,,,,4.944419999999999,4.941519999999999,,
2019-05-05 16:00:00,4.9035,4.9147,4.8688,4.9222,370874.6242542673,18735,1816567.9259545952,,,,4.94028,4.93418,,
2019-05-05 17:00:00,4.9139,4.8786000000000005,4.87,4.9211,282920.1824318307,15118,1385089.792891346,,,,4.9299599999999995,4.92714,,
2019-05-05 18:00:00,4.8793,4.9064,4.8655,4.9083,304794.2603921959,17048,1488288.770579478,,,,4.9146,4.925649999999999,,
2019-05-05 19:00:00,4.9061,4.8702000000000005,4.8621,4.9082,168383.890217945,10872,821608.0403297138,,,,4.89468,4.921339999999999,,
2019-05-05 20:00:00,4.8702000000000005,4.9003,4.8702000000000005,4.9052,153656.43257745946,10527,751016.2344354207,,,,4.8940399999999995,4.91923,,
2019-05-05 21:00:00,4.9002,4.8839,4.8716,4.916,192299.18087993184,11183,940413.4130673403,,,,4.88788,4.914079999999999,,
2019-05-05 22:00:00,4.8839,4.8748000000000005,4.85,4.8839,343685.7323396114,15755,1672743.889004492,,,,4.88712,4.9085399999999995,,
2019-05-05 23:00:00,4.8748000000000005,4.8869,4.8645,4.897,215239.5022853294,9337,1050437.4580735082,,,,4.883220000000001,4.898909999999999,,
2019-05-06 00:00:00,4.8877,4.8815,4.8629,4.8951,246989.9718057458,13710,1204695.9528525423,,,,4.88548,4.890079999999999,4.917515,
2019-05-06 01:00:00,4.8814,4.8675,4.864,4.89,146378.1369674611,10810,714047.66128724,,,,4.878920000000001,4.88648,4.914,
2019-05-06 02:00:00,4.8674,4.8963,4.8294,4.8994,270449.047881934,19305,1313369.7625323785,,,,4.881400000000001,4.884639999999999,4.909409999999999,
2019-05-06 03:00:00,4.8963,4.9067,4.8849,4.9105,165538.0934117795,13429,811046.47464137,,,,4.887780000000001,4.887449999999999,4.9072949999999995,
2019-05-06 04:00:00,4.9068000000000005,4.9209,4.9033,4.9334,118156.63800563516,13736,580898.6399916371,,,,4.89458,4.8889,4.907275,
2019-05-06 05:00:00,4.921,4.891,4.879,4.9236,86724.2343755713,8129,424958.10495494,,,,4.896480000000001,4.89098,4.906160000000001,
2019-05-06 06:00:00,4.8911,4.8629999999999995,4.8576,4.8948,132510.9236282126,8179,646573.7243360911,,,,4.895580000000001,4.88725,4.90324,
2019-05-06 07:00:00,4.8632,4.8803,4.8606,4.8892,131145.58532966202,8583,639293.28361048,,,,4.892380000000001,4.886889999999999,4.900485000000001,
2019-05-06 08:00:00,4.8801,4.7402,4.671,4.8848,964435.4423021257,31668,4607727.8964054985,,,,4.859080000000001,4.87343,4.890985000000001,
2019-05-06 09:00:00,4.7402,4.747,4.71,4.7713,812454.2238139949,37155,3851245.8685315414,,,,4.824300000000002,4.85944,4.879175000000001,
2019-05-06 10:00:00,4.747,4.7643,4.745,4.7913,351490.00099777634,17752,1675608.0055845545,,,,4.798960000000001,4.84772,4.868900000000001,
2019-05-06 11:00:00,4.7638,4.7379999999999995,4.7317,4.7688,202195.25566597618,11324,961062.2892537944,,,,4.773960000000001,4.83477,4.860625000000001,
2019-05-06 12:00:00,4.7376000000000005,4.7596,4.725,4.763,320463.4039334,9887,1518022.1096729806,,,,4.7498200000000015,4.8210999999999995,4.852870000000001,
2019-05-06 13:00:00,4.7596,4.7531,4.7466,4.764,188552.8591471036,6135,896413.7155804038,,,,4.752400000000001,4.805739999999998,4.8465950000000015,
2019-05-06 14:00:00,4.7514,4.7154,4.6837,4.755,636986.8367578196,19192,2999581.9926473415,-0.052941830195406325,-0.040401862481804524,-0.012539967713601802,4.746080000000001,4.785189999999998,4.837045000000002,
2019-05-06 15:00:00,4.7154,4.6577,4.6555,4.7186,596035.6631615967,20107,2791844.708280482,-0.059382475996879514,-0.04419798518481952,-0.01518449081205999,4.724760000000001,4.761859999999999,4.8264200000000015,
2019-05-06 16:00:00,4.6576,4.6783,4.633,4.6957,449417.5644771028,16671,2099167.0236671222,-0.0621085377957904,-0.0477800957070137,-0.014328442088776698,4.712820000000001,4.743389999999999,4.815320000000002,
2019-05-06 17:00:00,4.6774000000000004,4.7286,4.6753,4.7541,480521.49823261786,17864,2268548.117325915,-0.05952401598244883,-0.050128879762100724,-0.009395136220348106,4.706620000000001,4.7282199999999985,4.807555000000002,
2019-05-06 18:00:00,4.7284,4.7262,4.7219999999999995,4.7605,305148.5111263445,13333,1446525.3916629164,-0.05701222235681147,-0.051505548281042875,-0.005506674075768596,4.701240000000001,4.726819999999998,4.800125000000001,
2019-05-06 19:00:00,4.7262,4.767,4.7262,4.79,258176.90873430262,10816,1228084.9088650225,-0.05113988008764547,-0.051432414642363394,0.00029253455471792145,4.711560000000001,4.728819999999999,4.794130000000001,
2019-05-06 20:00:00,4.768,4.7337,4.7306,4.7708,254830.14488969752,10328,1209572.7570703104,-0.04861266172761347,-0.05086846405941341,0.002255802331799936,4.726760000000001,4.725759999999999,4.786740000000001,
2019-05-06 21:00:00,4.7337,4.755,4.7337,4.7589,140005.24414010713,5825,664847.5723259216,-0.0443795115967891,-0.049570673566888546,0.005191161970099445,4.7421000000000015,4.727459999999999,4.781115000000002,
