datetime,open,close,low,high,amount,count,vol,macd,macdsignal,macdhist,MA5,MA10,MA20,MA60
2019-02-15 02:00:00,3604.32,3609.11,3604.31,3609.13,155.4109301645567,2333,560617.98803343,,,,,,,
2019-02-15 03:00:00,3609.13,3603.66,3602.58,3609.24,296.6725948954221,2137,1069818.3313098948,,,,,,,
2019-02-15 04:00:00,3603.7,3596.75,3595.0,3603.87,362.5075842470889,1683,1304406.1795106085,,,,,,,
2019-02-15 05:00:00,3596.76,3601.38,3587.6,3604.5,516.0375818246221,2539,1856138.6822306388,,,,,,,
2019-02-15 06:00:00,3601.41,3593.93,3592.07,3603.06,374.1243961027961,1912,1345699.3589615503,,,,3600.9660000000003,,,
2019-02-15 07:00:00,3593.93,3590.22,3589.0,3596.31,359.90402116079855,2872,1292824.1503410626,,,,3597.1880000000006,,,
2019-02-15 08:00:00,3590.27,3597.04,3575.0,3600.95,591.8672277773718,3344,2127645.789202749,,,,3595.8640000000005,,,
2019-02-15 09:00:00,3597.04,3603.5,3597.0,3606.1,438.8091325713043,3310,1580394.9379857203,,,,3597.214000000001,,,
2019-02-15 10:00:00,3603.51,3606.99,3600.38,3610.0,448.31855065171914,3358,1615665.3811619112,,,,3598.3360000000002,,,
2019-02-15 11:00:00,3606.6,3613.77,3606.4,3619.83,689.1107184455908,3992,2489489.2854149323,,,,3602.304,3601.6349999999998,,
2019-02-15 12:00:00,3613.75,3619.94,3610.77,3628.33,712.886786354715,5227,2579901.014708909,,,,3608.2480000000005,3602.718,,
2019-02-15 13:00:00,3619.94,3613.12,3611.46,3621.25,543.9302961056621,3531,1966466.3223663638,,,,3611.464,3603.6639999999998,,
2019-02-15 14:00:00,3612.59,3614.95,3610.19,3624.69,595.5173848446987,3793,2153036.6229283963,,,,3613.754,3605.4839999999995,,
2019-02-15 15:00:00,3614.97,3615.76,3607.5,3618.0,584.2191529049991,5314,2110890.8305523163,,,,3615.5080000000003,3606.9219999999996,,
2019-02-15 16:00:00,3615.76,3609.47,3608.03,3621.8,744.4849991181443,3500,2691859.7108059376,,,,3614.648,3608.4759999999997,,
2019-02-15 17:00:00,3609.49,3603.7,3602.0,3614.43,703.3484273933285,4144,2537382.7278024643,,,,3611.4,3609.823999999999,,
2019-02-15 18:00:00,3603.7,3615.73,3600.0,3615.75,615.6808093537103,4821,2220642.2835138924,,,,3611.922,3611.6929999999993,,
2019-02-15 19:00:00,3615.73,3607.03,3604.65,3630.0,858.5363571590476,4858,3102487.6724953586,,,,3610.3379999999997,3612.0459999999994,,
2019-02-15 20:00:00,3607.02,3618.17,3606.33,3619.3,550.8736170866963,3606,1990492.8921332292,,,,3610.8199999999997,3613.1639999999993,,
2019-02-15 21:00:00,3618.18,3618.95,3609.6,3622.41,585.410249177292,6003,2116683.729954631,,,,3612.7159999999994,3613.6819999999993,3607.6585,
2019-02-15 22:00:00,3619.12,3585.0,3584.95,3649.99,2030.7145704304182,14499,7333012.823243469,,,,3608.9759999999997,3610.187999999999,3606.453,
2019-02-15 23:00:00,3585.0,3586.61,3573.71,3596.72,1836.4277329791153,10613,6579361.635231521,,,,3603.1519999999996,3607.536999999999,3605.6004999999996,
2019-02-16 00:00:00,3586.6,3593.48,3586.18,3594.49,448.4810293138356,5038,1610572.1303069873,,,,3600.442,3605.3899999999985,3605.4369999999994,
2019-02-16 01:00:00,3593.46,3597.21,3593.46,3601.82,429.403506213608,3550,1544770.7919771255,,,,3596.25,3603.5349999999985,3605.2284999999997,
2019-02-16 02:00:00,3597.21,3600.0,3595.68,3601.77,359.27098680074533,2859,1292978.9441296435,,,,3592.46,3602.5879999999984,3605.532,
2019-02-16 03:00:00,3600.0,3596.45,3594.56,3603.1,301.2682015167421,3671,1084396.94874185,,,,3594.75,3601.8629999999985,3605.8435,
2019-02-16 04:00:00,3596.45,3600.0,3595.75,3603.11,370.5649540810428,2084,1334020.321483,,,,3597.428,3600.289999999998,3605.9915,
2019-02-16 05:00:00,3600.0,3597.62,3596.35,3604.4,264.82378431300094,1962,953526.8448697701,,,,3598.256,3599.3489999999983,3605.6974999999998,
2019-02-16 06:00:00,3597.62,3599.99,3595.75,3600.46,284.28989414912917,2513,1022905.5708209621,,,,3598.8119999999994,3597.530999999998,3605.3475,
2019-02-16 07:00:00,3599.66,3601.0,3595.86,3601.53,220.2798797155769,2218,792767.0321674302,,,,3599.0119999999997,3595.7359999999985,3604.709,
2019-02-16 08:00:00,3600.98,3608.92,3599.46,3609.0,622.602219720263,4826,2243279.0323584746,,,,3601.506,3598.1279999999983,3604.1579999999994,
2019-02-16 09:00:00,3608.94,3607.71,3606.25,3614.88,621.778869612766,5215,2245352.8503971566,,,,3603.048,3600.2379999999985,3603.8875,
2019-02-16 10:00:00,3607.71,3612.17,3605.0,3614.15,224.45717319342108,3506,809773.468103262,,,,3605.958,3602.1069999999986,3603.7485,
2019-02-16 11:00:00,3612.18,3624.31,3599.95,3625.5,1109.051036157434,6477,4012760.0914453794,1.726984414162871,-0.9954511273739021,2.722435541536773,3610.822,3604.816999999998,3604.1760000000004,
2019-02-16 12:00:00,3624.31,3618.38,3602.0,3630.82,962.1187296971692,8285,3485116.225465985,2.4554066202595095,-0.3052795778472197,2.760686198106729,3614.2980000000002,3606.654999999998,3604.6215,
2019-02-16 13:00:00,3618.36,3615.64,3613.82,3622.24,458.50782955523937,4976,1659232.649428799,2.779550438480328,0.31168642541828984,2.467864013062038,3615.6420000000007,3608.5739999999983,3605.2185000000004,
2019-02-16 14:00:00,3615.61,3616.75,3611.66,3618.35,502.5980432755569,4506,1816917.679082978,3.0903804904937715,0.8674252384333861,2.2229552520603852,3617.4500000000007,3610.2489999999984,3605.269500000001,
2019-02-16 15:00:00,3616.75,3618.5,3613.58,3619.81,704.8385721489097,6492,2549127.5347892283,3.4382914373363747,1.3815984782139838,2.056692959122391,3618.7160000000003,3612.336999999998,3605.8430000000008,
2019-02-16 16:00:00,3618.37,3618.01,3616.8,3622.35,597.5408669123615,5249,2162932.46931713,3.6326001115025974,1.8317988048717067,1.8008013066308908,3617.4560000000006,3614.1389999999983,3605.8350000000005,
2019-02-16 17:00:00,3618.18,3619.92,3615.56,3621.9,595.6924859700215,5488,2155571.2641042597,3.895803772328236,2.2445997983630126,1.6512039739652233,3617.764,3616.030999999998,3605.883500000001,
2019-02-16 18:00:00,3619.92,3614.41,3612.92,3623.0,473.8794653906107,4972,1714787.5381045802,3.618076682977062,2.5192951752858224,1.0987815076912395,3617.518,3616.579999999999,3607.3540000000007,
2019-02-16 19:00:00,3614.4,3624.42,3614.38,3625.48,399.22684468513,4032,1445641.661215351,4.157771109462374,2.8469903621211325,1.3107807473412412,3619.0520000000006,3618.250999999999,3609.2445000000007,
2019-02-16 20:00:00,3624.42,3622.7,3610.35,3637.99,1067.161846453918,8543,3868651.073888427,4.396018638937676,3.1567960174844414,1.2392226214532345,3619.8920000000007,3619.3039999999987,3610.705500000001,
2019-02-16 21:00:00,3622.7,3631.99,3621.25,3638.38,813.12829272478,6140,2952218.375585659,5.273665351330692,3.5801698842536913,1.6934954670770006,3622.6880000000006,3620.0719999999988,3612.4445000000005,
2019-02-16 22:00:00,3632.0,3637.21,3626.76,3648.12,827.6246573073918,7559,3008501.041283436,6.317591802905554,4.127654267984064,2.18993753492149,3626.1460000000006,3621.954999999999,3614.305000000001,
2019-02-16 23:00:00,3637.24,3634.73,3630.68,3640.0,642.7725136719868,6230,2336741.3552375515,6.865652791428147,4.675253972672881,2.1903988187552663,3630.2100000000005,3623.863999999999,3616.219000000001,
2019-02-17 00:00:00,3634.39,3630.29,3620.0,3645.0,656.48265490008,7264,2383182.1860083886,6.862616212163175,5.112726420570939,1.7498897915922358,3631.3840000000005,3625.2179999999994,3617.7335000000007,
2019-02-17 01:00:00,3630.29,3627.63,3623.05,3630.29,482.223099359279,3898,1748614.0620083783,6.569836941090216,5.4041485246747945,1.1656884164154215,3632.3700000000003,3626.130999999999,3619.2340000000013,
2019-02-17 02:00:00,3626.89,3626.94,3624.62,3632.18,302.56457197864336,3477,1097345.909724111,6.210538800607537,5.565426579861343,0.6451122207461939,3631.3600000000006,3627.023999999999,3620.581500000001,
2019-02-17 03:00:00,3626.97,3634.46,3626.97,3640.83,725.911518383639,4672,2640171.532608977,6.458148077430451,5.743970879375165,0.7141771980552862,3630.8100000000004,3628.477999999999,3622.2545000000014,
